Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,Return,Roll_Return_20,Roll_Vol_20,Regime,Regime_Bear,Regime_Bull,Regime_Sideways
2014-09-24,30095.8,30144.91,30340.74,30082.57,103680000.0,-0.16,94.11483282238804,29921.783887061392,29550.35490749465,371.4289795667428,367.8129518045012,3.616027762241572,-0.0015913736072163953,,,,False,False,False
2014-09-25,29940.27,30095.47,30167.13,29849.37,71900000.0,-0.52,90.4574695856458,29924.62790443656,29579.23750693949,345.3903974970708,363.3284409430152,-17.938043445944345,-0.0051678307272110535,,,,False,False,False
2014-09-26,29705.65,29973.56,30039.06,29666.91,86490000.0,-0.78,85.08587728270575,29890.938996061705,29588.601395314345,302.33760074735983,351.1302729038841,-48.79267215652425,-0.007836268677603786,,,,False,False,False
2014-09-29,29383.13,29693.43,29693.43,29336.35,47070000.0,-1.09,78.21044994762215,29812.81453512913,29573.381291957725,239.4332431714101,328.7908669573893,-89.35762378597917,-0.01085719383349637,0.0015671208850274454,0.00786742337337589,Bull,False,True,False
2014-09-30,29726.39,29389.99,29745.11,29376.31,60390000.0,1.17,80.05747813297111,29799.51845280157,29584.715270331224,214.8031824703503,305.9933300599816,-91.19014758963124,0.011682213569486954,0.000806111547666738,0.005734873339059713,Bull,False,True,False
2014-10-01,29996.61,29727.8,30001.3,29727.8,72100000.0,0.91,81.39452030881931,29829.84022929364,29615.225991047428,214.61423824621303,287.71751169722785,-73.10327345101479,0.009090239346250861,0.0006877310385205726,0.005523984281694605,Bull,False,True,False
2014-10-02,30071.58,30150.93,30150.93,30038.64,107310000.0,0.25,81.7599020992446,29867.030963248464,29649.02999171058,218.00097153788371,273.77420366535904,-55.773232127475296,0.0024992824189133955,0.0007979125316725344,0.005537712040290349,Bull,False,True,False
2014-10-03,30103.23,30085.99,30179.3,30041.6,56760000.0,0.11,81.92131702988966,29903.36927659485,29682.67443676906,220.6948398257955,263.1583308974463,-42.46349107165082,0.0010524887618141854,0.0010034201657854458,0.0054628578876263195,Bull,False,True,False
2014-10-09,29978.94,30115.13,30123.03,29964.2,52510000.0,-0.41,78.96600158088404,29914.995541734108,29704.620034045423,210.3755076886846,252.601766255694,-42.22625856700938,-0.004128792823893002,0.000675308546281006,0.005568497008295008,Bull,False,True,False
2014-10-10,30158.63,29985.0,30191.15,29955.09,107520000.0,0.6,80.08458574540893,29952.477766082706,29738.25040189391,214.22736418879504,244.92688584231425,-30.699521653519184,0.0059938743664720295,0.000732806737050662,0.005619509243261288,Bull,False,True,False
2014-10-13,30394.41,30220.59,30444.35,30218.9,123550000.0,0.78,81.47657492979872,30020.46734053152,29786.85481656844,233.6125239630819,242.66401346646776,-9.051489503385852,0.007817994385023397,0.0011869445635852792,0.0058132497380546915,Bull,False,True,False
2014-10-14,30355.22,30396.97,30518.32,30338.63,118620000.0,-0.13,80.46979993272357,30071.96774968052,29828.95594126707,243.01180841344467,242.7335724558632,0.2782359575815007,-0.0012893818304089422,0.0008411473662992108,0.0057405026929787835,Bull,False,True,False
2014-10-15,30120.99,30392.13,30403.51,30044.21,103410000.0,-0.77,74.5412527197035,30079.50963434505,29850.588093765808,228.921540579242,239.97116608053892,-11.049625501296958,-0.00771630052425909,0.00014299111047458846,0.0058954673810145885,Bull,False,True,False
