Date,EPU
2015-08-06,40.09189127
2015-08-07,40.09189127
2015-08-08,40.09189127
2015-08-09,40.09189127
2015-08-10,40.09189127
2015-08-11,40.09189127
2015-08-12,40.09189127
2015-08-13,40.09189127
2015-08-14,40.09189127
2015-08-15,40.09189127
2015-08-16,40.09189127
2015-08-17,40.09189127
2015-08-18,40.09189127
2015-08-19,40.09189127
2015-08-20,40.09189127
2015-08-21,40.09189127
2015-08-22,40.09189127
2015-08-23,40.09189127
2015-08-24,40.09189127
2015-08-25,40.09189127
2015-08-26,40.09189127
2015-08-27,40.09189127
2015-08-28,40.09189127
2015-08-29,40.09189127
2015-08-30,40.09189127
2015-08-31,40.09189127
2015-09-01,37.74714098
2015-09-02,37.74714098
2015-09-03,37.74714098
2015-09-04,37.74714098
2015-09-05,37.74714098
2015-09-06,37.74714098
2015-09-07,37.74714098
2015-09-08,37.74714098
2015-09-09,37.74714098
2015-09-10,37.74714098
2015-09-11,37.74714098
2015-09-12,37.74714098
2015-09-13,37.74714098
2015-09-14,37.74714098
2015-09-15,37.74714098
2015-09-16,37.74714098
2015-09-17,37.74714098
2015-09-18,37.74714098
2015-09-19,37.74714098
2015-09-20,37.74714098
2015-09-21,37.74714098
2015-09-22,37.74714098
2015-09-23,37.74714098
2015-09-24,37.74714098
2015-09-25,37.74714098
2015-09-26,37.74714098
2015-09-27,37.74714098
2015-09-28,37.74714098
2015-09-29,37.74714098
2015-09-30,37.74714098
2015-10-01,39.2149226
2015-10-02,39.2149226
2015-10-03,39.2149226
2015-10-04,39.2149226
2015-10-05,39.2149226
2015-10-06,39.2149226
2015-10-07,39.2149226
2015-10-08,39.2149226
2015-10-09,39.2149226
2015-10-10,39.2149226
2015-10-11,39.2149226
2015-10-12,39.2149226
2015-10-13,39.2149226
2015-10-14,39.2149226
2015-10-15,39.2149226
2015-10-16,39.2149226
2015-10-17,39.2149226
2015-10-18,39.2149226
2015-10-19,39.2149226
2015-10-20,39.2149226
2015-10-21,39.2149226
2015-10-22,39.2149226
2015-10-23,39.2149226
2015-10-24,39.2149226
2015-10-25,39.2149226
2015-10-26,39.2149226
2015-10-27,39.2149226
2015-10-28,39.2149226
2015-10-29,39.2149226
2015-10-30,39.2149226
2015-10-31,39.2149226
2015-11-01,42.3111148
2015-11-02,42.3111148
2015-11-03,42.3111148
2015-11-04,42.3111148
2015-11-05,42.3111148
2015-11-06,42.3111148
2015-11-07,42.3111148
2015-11-08,42.3111148
2015-11-09,42.3111148
2015-11-10,42.3111148
2015-11-11,42.3111148
2015-11-12,42.3111148
2015-11-13,42.3111148
2015-11-14,42.3111148
2015-11-15,42.3111148
2015-11-16,42.3111148
2015-11-17,42.3111148
2015-11-18,42.3111148
2015-11-19,42.3111148
2015-11-20,42.3111148
