Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2025-01-22,113443.43,114996.26,115256.16,113359.38,358350000.0,-1.39,40.57725782692823,114827.39834415886,115466.50512305953,-639.1067789006629,-601.0591402167377,-38.04763868392524
2025-01-23,114037.79,113580.21,114319.62,113234.31,374090000.0,0.52,44.51011187833993,114705.92013736519,115360.67437320326,-654.7542358380742,-611.798159341005,-42.95607649706926
2025-01-24,114880.49,114407.66,115779.06,114383.17,280360000.0,0.74,49.6030403967931,114732.777039309,115325.10516037338,-592.3281210643763,-607.9041516856793,15.576030621302948
2025-01-27,113520.32,115075.86,115596.87,113482.23,231200000.0,-1.18,42.778354230362794,114546.24518710762,115191.4173707161,-645.1721836084762,-615.3577580702387,-29.814425538237515
2025-01-28,112030.36,113398.28,113644.72,111434.95,211430000.0,-1.31,36.8046563325207,114159.18592755261,114957.26497288527,-798.0790453326626,-651.9020155227234,-146.1770298099392
2025-01-29,111487.36,112274.42,112569.9,111157.19,201920000.0,-0.48,34.89234230273206,113748.1357848522,114700.23497489377,-952.0991900415684,-711.9414504264925,-240.1577396150759
2025-01-30,113206.4,111805.66,113400.57,111805.66,172240000.0,1.54,44.69016628983829,113664.79181795186,114589.58053230905,-924.7887143571861,-754.5109032126313,-170.2778111445548
2025-01-31,114255.73,113745.99,115106.99,113692.87,250680000.0,0.93,49.66916994457192,113755.70538442081,114564.85086324913,-809.1454788283154,-765.4378183357682,-43.707660492547234
2025-02-03,112745.01,114550.59,114620.79,112681.34,165870000.0,-1.32,43.585831233924466,113600.2137868176,114430.04783634178,-829.8340495241719,-778.3170645734489,-51.516984950722986
2025-02-04,111935.38,113091.72,113649.08,111828.11,170650000.0,-0.72,40.70826712434921,113344.08551192259,114245.25762624238,-901.1721143197938,-802.888074522718,-98.28403979707582
2025-02-06,110301.16,112053.96,112234.15,109405.54,174300000.0,-1.46,35.599334586560815,112875.94312547296,113953.10224652072,-1077.1591210477636,-857.7422838277271,-219.41683722003654
2025-02-07,110322.94,110575.28,110905.09,109686.53,129190000.0,0.02,35.71512920214019,112483.17341386175,113684.20133937104,-1201.02792550929,-926.3994121640397,-274.6285133452503
2025-02-10,111377.97,110610.81,111622.72,109948.57,193050000.0,0.96,41.22779439587119,112313.14211942148,113513.36938830651,-1200.2272688850353,-981.164983508239,-219.06228537679635
2025-02-11,113010.38,111834.21,113233.41,111834.21,244300000.0,1.47,48.57580040881939,112420.40948566434,113476.11091509863,-1055.7014294342953,-996.0722726934503,-59.62915674084502
2025-02-12,112924.94,113302.68,113436.72,112621.14,399900000.0,-0.08,48.235874438219724,112498.0295647929,113435.28343990614,-937.2538751132379,-984.3085931774078,47.05471806416995
2025-02-13,112564.08,113023.24,113477.71,112540.12,289290000.0,-0.32,46.7479225622536,112508.19117020938,113370.74985176495,-862.5586815555725,-959.9586108530408,97.39992929746825
2025-02-14,112085.3,113070.07,113482.13,111861.56,238580000.0,-0.43,44.77445071639437,112443.13099017716,113275.53134422681,-832.4003540496487,-934.4469594923625,102.04660544271371
2025-02-17,111743.53,112283.82,112524.81,111513.67,295850000.0,-0.3,43.367070862246685,112335.50006861144,113162.04976317298,-826.549694561545,-912.867506506199,86.31781194465395
2025-02-18,113088.48,112023.31,113252.55,111642.02,348500000.0,1.2,50.02434501918732,112451.3431349789,113156.6001510861,-705.2570161071926,-871.3454084263979,166.08839231920524
2025-02-19,113342.44,113465.7,114029.76,113060.26,461110000.0,0.22,51.19107543277347,112588.43496036677,113170.36606582046,-581.9311054536956,-813.4625478318575,231.53144237816184
2025-02-20,113739.16,113601.96,114202.14,113525.9,507750000.0,0.35,53.03559925965593,112765.46958184881,113212.49894983377,-447.0293679849565,-740.1759118624774,293.1465438775209
2025-02-21,112800.93,114441.59,114444.01,112813.87,216950000.0,-0.82,48.37916669239099,112770.92503079514,113182.01236095719,-411.08733016204496,-674.3581955223909,263.27086536034597
2025-02-24,114330.1,112700.1,114573.68,111857.34,214100000.0,1.36,55.27198182213629,113010.79810298051,113267.05588977518,-256.2577867946675,-590.7381137768463,334.4803269821788
2025-02-25,114528.09,114900.47,115889.6,114178.56,290830000.0,0.17,56.089527264945204,113244.2276255989,113360.4658238659,-116.23819826700492,-495.838130674878,379.5999324078731
