Date,Close,Open,High,Low,Volume,Change
2015-04-28,33575.94,33848.17,33968.22,33544.92,205280000.0,-0.79
2015-04-29,33460.01,33572.99,33681.05,33435.21,158800000.0,-0.35
2015-04-30,33729.96,33475.95,33760.41,33475.95,143910000.0,0.81
2015-05-04,33723.53,33823.49,34020.3,33627.57,155540000.0,-0.02
2015-05-05,33533.64,33731.91,33768.44,33384.83,131970000.0,-0.56
2015-05-06,33839.28,33638.17,33925.9,33638.17,155430000.0,0.91
2015-05-07,33742.88,33839.55,33885.57,33619.82,93300000.0,-0.28
2015-05-08,33530.3,33700.16,33700.16,33503.32,99030000.0,-0.63
2015-05-11,32506.36,33528.38,33541.59,32416.79,163820000.0,-3.05
2015-05-12,33023.8,32489.87,33087.48,32354.01,126880000.0,1.59
2015-05-13,32915.44,33091.18,33230.46,32891.13,98780000.0,-0.33
2015-05-14,33103.73,32948.58,33226.02,32948.58,109670000.0,0.57
2015-05-15,33039.19,33104.49,33133.9,32953.76,117800000.0,-0.19
2015-05-18,32886.06,33054.61,33098.66,32843.66,59860000.0,-0.46
2015-05-19,32729.55,32892.17,33049.83,32673.64,58490000.0,-0.48
2015-05-20,32599.0,32729.55,32729.55,32569.38,84550000.0,-0.4
2015-05-21,32617.74,32611.65,32688.82,32556.73,43630000.0,0.06
2015-05-22,32605.62,32637.72,32750.02,32529.05,42940000.0,-0.04
2015-05-25,32707.22,32657.32,32871.86,32477.98,142490000.0,0.31
2015-05-26,32510.35,32739.8,32771.28,32419.14,69250000.0,-0.6
2015-05-27,32842.59,32680.18,32922.56,32649.06,139200000.0,1.02
2015-05-28,32763.48,32850.07,32850.07,32671.91,83570000.0,-0.24
2015-05-29,33056.79,32763.48,33130.92,32763.48,189130000.0,0.9
2015-06-01,33563.38,33109.46,33583.33,33108.35,174160000.0,1.53
2015-06-02,33895.34,33620.72,34016.12,33620.72,213800000.0,0.99
2015-06-03,33908.62,33946.27,34119.13,33859.16,153180000.0,0.04
2015-06-04,34085.74,33931.66,34156.13,33926.54,204580000.0,0.52
2015-06-05,34012.49,34091.5,34148.43,33970.98,168890000.0,-0.21
2015-06-08,34151.11,33928.37,34235.94,33137.3,282030000.0,0.41
2015-06-09,34270.28,34240.98,34497.56,34224.45,247180000.0,0.35
2015-06-10,34323.84,34346.7,34531.6,34196.24,200780000.0,0.16
2015-06-11,34594.7,34328.6,34744.17,34328.6,208360000.0,0.79
2015-06-12,34651.29,34600.02,34727.37,34576.41,185140000.0,0.16
2015-06-15,34710.29,34715.03,34869.06,34634.38,364950000.0,0.17
2015-06-16,34516.3,34709.71,34739.17,34448.29,337860000.0,-0.56
2015-06-17,34482.0,34516.07,34630.74,34429.08,328190000.0,-0.1
2015-06-18,34674.61,34482.0,34763.69,34482.0,197290000.0,0.56
2015-06-19,34526.7,34670.76,34710.47,34486.65,83030000.0,-0.43
2015-06-22,34278.42,34530.59,34534.26,34069.64,104760000.0,-0.72
2015-06-23,34133.83,34277.76,34345.75,34129.88,163560000.0,-0.42
2015-06-24,34331.94,34193.18,34400.67,34193.18,179600000.0,0.58
2015-06-25,34077.92,34333.25,34370.12,34034.76,178140000.0,-0.74
2015-06-26,33885.13,34076.04,34114.32,33857.75,205920000.0,-0.57
2015-06-29,34093.55,33899.9,34141.54,33808.2,128160000.0,0.62
2015-06-30,34398.86,34104.6,34444.19,34104.6,173890000.0,0.9
2015-07-01,34843.6,34432.55,34878.04,34432.55,167210000.0,1.29
2015-07-02,35186.56,34849.64,35236.18,34849.64,172030000.0,0.98
2015-07-03,35456.35,35209.09,35543.48,35209.09,227670000.0,0.77
2015-07-06,35502.28,35476.38,35544.21,35291.08,230860000.0,0.13
2015-07-07,35537.69,35529.92,35637.48,35431.43,246540000.0,0.1
2015-07-08,35328.83,35550.79,35581.03,35250.33,217420000.0,-0.59
2015-07-09,35147.13,35333.39,35365.97,35126.7,180480000.0,-0.51
2015-07-10,35112.29,35147.09,35371.22,35091.73,145120000.0,-0.1
2015-07-13,35496.62,35115.45,35559.95,35010.93,155680000.0,1.09
2015-07-14,35446.89,35523.94,35725.16,35371.58,167940000.0,-0.14
2015-07-15,35699.75,35436.55,35722.76,35430.82,177440000.0,0.71
2015-07-16,35887.66,35698.52,36030.92,35698.52,178360000.0,0.53
2015-07-22,36056.68,35905.66,36110.76,35905.66,245420000.0,0.47
2015-07-23,35934.99,36056.68,36114.96,35876.78,234750000.0,-0.34
2015-07-24,35815.2,35936.31,35982.13,35759.99,184060000.0,-0.33
2015-07-27,35175.49,35814.16,35889.53,35140.43,164800000.0,-1.79
2015-07-28,35274.66,35161.33,35443.17,35051.97,149100000.0,0.28
2015-07-29,35676.49,35287.89,35785.65,35287.89,173550000.0,1.14
2015-07-30,35730.01,35678.91,35996.36,35508.82,179130000.0,0.15
2015-07-31,35741.52,35739.83,35824.62,35626.9,143680000.0,0.03
2015-08-03,35824.56,35782.17,35839.97,35703.25,101010000.0,0.23
2015-08-04,35921.71,35827.37,35959.12,35653.16,163030000.0,0.27
2015-08-05,36156.83,36011.77,36265.99,35965.73,168730000.0,0.65
2015-08-06,36228.88,36180.21,36471.59,36180.21,177310000.0,0.2
2015-08-07,36222.63,36245.79,36327.24,36140.95,144480000.0,-0.02
2015-08-10,36084.67,36230.37,36332.67,36037.47,119870000.0,-0.38
2015-08-11,36205.94,36107.84,36271.99,36107.84,139150000.0,0.34
2015-08-12,35892.77,36230.51,36309.97,35868.41,131500000.0,-0.86
2015-08-13,35937.33,35911.3,36052.49,35887.73,159010000.0,0.12
2015-08-17,35588.05,35941.23,36007.16,35580.94,157260000.0,-0.97
2015-08-18,35546.03,35593.79,35762.93,35408.02,160420000.0,-0.12
2015-08-19,35461.58,35598.32,35768.59,35438.05,120920000.0,-0.24
2015-08-20,35219.59,35446.17,35466.51,35137.45,175220000.0,-0.68
2015-08-21,34519.77,35206.11,35278.88,34275.61,189420000.0,-1.99
2015-08-24,33100.34,34211.36,34211.36,33027.82,194660000.0,-4.11
2015-08-25,33798.8,33072.01,33834.88,32882.75,272240000.0,2.11
2015-08-26,33537.42,33867.39,34020.98,33433.5,157560000.0,-0.77
2015-08-27,33961.29,33547.12,34003.98,33547.12,137180000.0,1.26
2015-08-28,34447.47,34021.04,34496.13,34021.04,175610000.0,1.43
2015-08-31,34726.51,34558.3,34810.75,34316.17,178400000.0,0.81
2015-09-01,34456.34,34713.76,34912.45,34335.03,177480000.0,-0.78
2015-09-02,34309.76,34309.07,34402.92,34122.48,125690000.0,-0.43
2015-09-03,34397.33,34389.15,34610.75,34323.25,129169999.99999999,0.26
2015-09-04,33891.08,34437.55,34629.64,33590.19,113720000.0,-1.47
2015-09-07,32944.48,33876.81,33876.81,32760.76,122430000.0,-2.79
2015-09-08,33474.17,32923.11,33503.75,32646.78,166160000.0,1.61
2015-09-09,33830.36,33644.81,33865.55,33546.79,99270000.0,1.06
2015-09-10,33792.37,33833.02,33853.35,33508.38,75540000.0,-0.11
2015-09-11,33672.72,33797.02,34017.8,33636.76,70090000.0,-0.35
2015-09-14,33384.73,33674.48,33850.4,33333.38,59670000.0,-0.86
2015-09-15,33191.46,33379.99,33417.63,33107.5,73350000.0,-0.58
2015-09-16,33345.56,33193.56,33398.04,33193.56,50320000.0,0.46
2015-09-17,33152.06,33483.42,33737.08,33093.61,102230000.0,-0.58
2015-09-18,32760.95,33199.82,33243.25,32728.2,63260000.0,-1.18
2015-09-21,32826.24,32735.5,32842.89,32474.71,67840000.0,0.2
2015-09-22,32882.02,32853.17,33160.57,32842.38,74670000.0,0.17
2015-09-23,32822.84,32866.54,32874.26,32725.71,81060000.0,-0.18
2015-09-28,32690.02,32872.89,32975.8,32647.42,57010000.0,-0.4
2015-09-29,32214.58,32644.63,32644.63,32025.25,114340000.0,-1.45
2015-09-30,32287.41,32285.82,32560.52,32050.87,130419999.99999999,0.23
2015-10-01,32750.31,32287.41,32771.02,32287.41,103580000.0,1.43
2015-10-02,32969.73,32775.1,33023.65,32710.71,140780000.0,0.67
2015-10-05,32784.94,32988.93,33056.68,32739.4,84630000.0,-0.56
2015-10-06,33202.87,32887.5,33237.34,32887.5,90040000.0,1.27
2015-10-07,33376.2,33328.59,33407.48,33204.3,72380000.0,0.52
2015-10-08,33469.15,33370.44,33493.08,33257.41,100170000.0,0.28
